Date,Close,High,Low,Open,currency_pair
5/3/2024,1.073306918,1.080940843,1.072501063,1.073306918,EUR/USD
5/6/2024,1.075812459,1.079214334,1.07563889,1.075812459,EUR/USD
5/7/2024,1.076750755,1.0789814,1.075581074,1.076750755,EUR/USD
5/8/2024,1.075049162,1.075847268,1.07357192,1.075049162,EUR/USD
5/9/2024,1.074691057,1.078283429,1.072512627,1.074691057,EUR/USD
5/10/2024,1.078515887,1.079330802,1.076206207,1.078515887,EUR/USD
5/13/2024,1.077040672,1.080730557,1.076646447,1.077040672,EUR/USD
5/14/2024,1.079354167,1.082836986,1.077644229,1.079354167,EUR/USD
5/15/2024,1.081455231,1.087429285,1.081361651,1.081455231,EUR/USD
5/16/2024,1.088980556,1.089680791,1.085517049,1.088980556,EUR/USD
5/17/2024,1.086779356,1.087890625,1.083634973,1.086779356,EUR/USD
5/20/2024,1.087547541,1.088494658,1.085505247,1.087547541,EUR/USD
5/21/2024,1.086082935,1.087547541,1.08459866,1.086082935,EUR/USD
5/22/2024,1.085517049,1.086484075,1.082251072,1.085517049,EUR/USD
5/23/2024,1.082520485,1.086130142,1.081303239,1.082520485,EUR/USD
5/24/2024,1.081268191,1.085658431,1.080613732,1.081268191,EUR/USD
5/27/2024,1.084763408,1.086720347,1.084175348,1.084763408,EUR/USD
5/28/2024,1.086189151,1.088945031,1.085906029,1.086189151,EUR/USD
5/29/2024,1.085187197,1.085894227,1.080952525,1.085187197,EUR/USD
5/30/2024,1.080181956,1.08459866,1.07889998,1.080181956,EUR/USD
5/31/2024,1.083541036,1.08825767,1.08116293,1.083541036,EUR/USD
6/3/2024,1.085304976,1.089087367,1.082801938,1.085304976,EUR/USD
6/4/2024,1.090738535,1.091822267,1.086071134,1.090738535,EUR/USD
6/5/2024,1.088186622,1.088992476,1.086094737,1.088186622,EUR/USD
6/6/2024,1.087453008,1.089870691,1.086366177,1.087453008,EUR/USD
6/7/2024,1.089443207,1.090179682,1.080497026,1.089443207,EUR/USD
6/10/2024,1.07788825,1.078283429,1.073364496,1.07788825,EUR/USD
6/11/2024,1.076426268,1.077353954,1.072110176,1.076426268,EUR/USD
6/12/2024,1.074033022,1.085175395,1.073502779,1.074033022,EUR/USD
6/13/2024,1.081314921,1.081782818,1.075384498,1.081314921,EUR/USD
6/14/2024,1.073883176,1.074575543,1.066814542,1.073883176,EUR/USD
6/17/2024,1.070216894,1.0726161,1.068764329,1.070216894,EUR/USD
